Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
363,17.99,4.5493112947658405,0.3831417624521073,,17.99,363,,,4.549311295,363,,,0.383141762,363,,,,363
,,,,,,,,,,,,,,,,,,
328,9.99,7.257756563245823,1.0784313725490196,,9.99,328,,,7.257756563,328,,,1.078431373,328,,,,328
,,,,,,,,,,,,,,,,,,
200,0,4.152512998266897,0,,0,200,,,4.152512998,200,,,0.00,200,,,,200
,,,,,,,,,,,,,,,,,,
304,39.99,4.541201489,24.298850574712645,,39.99,304,,,4.541201489,304,,,24.29885057,304,,,,304
,,,,,,,,,,,,,,,,,,
249,59.99,4.71025641,5.731800766283525,,59.99,249,,,4.71025641,249,,,5.731800766,249,,,,249
,,,,,,,,,,,,,,,,,,
141,24.99,4.2910699241786014,16.977011494252874,,24.99,141,,,4.291069924,141,,,16.97701149,141,,,,141
,,,,,,,,,,,,,,,,,,
243,2.49,8.182994454713494,1.064516129032258,,2.49,243,,,8.182994455,243,,,1.064516129,243,,,,243
,,,,,,,,,,,,,,,,,,
230,0,8.635281385281385,13.911877394636015,,0,230,,,8.635281385,230,,,13.91187739,230,,,,230
,,,,,,,,,,,,,,,,,,
471,39.99,1.4803523035230353,0.20689655172413793,,39.99,471,,,1.480352304,471,,,0.206896552,471,,,,471
,,,,,,,,,,,,,,,,,,
300,0,11.65018315018315,0.892720307,,0,300,,,11.65018315,300,,,0.89,300,,,,300
,,,,,,,,,,,,,,,,,,
364,39.39,13.6125,0,,39.39,364,,,13.6125,364,,,0.00,364,,,,364
,,,,,,,,,,,,,,,,,,
134,12.49,3.858227848101266,1.582375478927203,,12.49,134,,,3.858227848,134,,,1.582375479,134,,,,134
,,,,,,,,,,,,,,,,,,
1499,39.99,12.851991388589882,4.547892720306513,,39.99,1499,,,12.85199139,1499,,,4.54789272,1499,,,,1499
,,,,,,,,,,,,,,,,,,
235,19.99,13.930352536543422,3.8297872340425534,,19.99,235,,,13.93035254,235,,,3.829787234,235,,,,235
,,,,,,,,,,,,,,,,,,
332,49.99,3.8197298884321786,1.0574712643678161,,49.99,332,,,3.819729888,332,,,1.057471264,332,,,,332
,,,,,,,,,,,,,,,,,,
325,8.39,7.210714285714285,1.0344827586206897,,8.39,325,,,7.210714286,325,,,1.034482759,325,,,,325
,,,,,,,,,,,,,,,,,,
124,0,0.9402214022140222,6.612903225806452,,0,124,,,0.940221402,124,,,6.612903226,124,,,,124
,,,,,,,,,,,,,,,,,,
845,0,1.515881708652793,0.865546218,,0,845,,,1.515881709,845,,,0.87,845,,,,845
,,,,,,,,,,,,,,,,,,
238,9.99,17.47892074198988,17.395833333333332,,9.99,238,,,17.47892074,238,,,17.39583333,238,,,,238
,,,,,,,,,,,,,,,,,,
620,19.99,11.40313272877164,29.088122605363985,,19.99,620,,,11.40313273,620,,,29.08812261,620,,,,620
,,,,,,,,,,,,,,,,,,
188,16.99,3.0859891761876126,0,,16.99,188,,,3.085989176,188,,,0.00,188,,,,188
,,,,,,,,,,,,,,,,,,
1012,19.99,3.275259199024192,1.24,,19.99,1012,,,3.275259199,1012,,,1.24,1012,,,,1012
,,,,,,,,,,,,,,,,,,
360,39.99,2.3017057569296377,1.631578947368421,,39.99,360,,,2.301705757,360,,,1.631578947,360,,,,360
,,,,,,,,,,,,,,,,,,
255,59.99,2.619085805934242,1.8045977011494252,,59.99,255,,,2.619085806,255,,,1.804597701,255,,,,255
,,,,,,,,,,,,,,,,,,
1187,19.99,13.253815380056304,19.78927203065134,,19.99,1187,,,13.25381538,1187,,,19.78927203,1187,,,,1187
,,,,,,,,,,,,,,,,,,
729,19.99,11.092518813634351,0.49732620320855614,,19.99,729,,,11.09251881,729,,,0.497326203,729,,,,729
,,,,,,,,,,,,,,,,,,
124,29.99,7.587719298245614,1.0466666666666666,,29.99,124,,,7.587719298,124,,,1.046666667,124,,,,124
,,,,,,,,,,,,,,,,,,
128,0,11.022641509433962,6.831417624521073,,0,128,,,11.02264151,128,,,6.831417625,128,,,,128
,,,,,,,,,,,,,,,,,,
133,19.99,4.472696245733788,1.7816091954022988,,19.99,133,,,4.472696246,133,,,1.781609195,133,,,,133
,,,,,,,,,,,,,,,,,,
108,19.99,0.8121546961325967,4.306513409961686,,19.99,108,,,0.812154696,108,,,4.30651341,108,,,,108
,,,,,,,,,,,,,,,,,,
909,19.99,7.6239316239316235,12.345454545454546,,19.99,909,,,7.623931624,909,,,12.34545455,909,,,,909
,,,,,,,,,,,,,,,,,,
186,29.99,23.03546099,1.7868852459016393,,29.99,186,,,23.03546099,186,,,1.786885246,186,,,,186
,,,,,,,,,,,,,,,,,,
120,49.99,6.638297872340425,2.5,,49.99,120,,,6.638297872,120,,,2.50,120,,,,120
,,,,,,,,,,,,,,,,,,
184,29.99,4.997165532879818,17.96551724137931,,29.99,184,,,4.997165533,184,,,17.96551724,184,,,,184
,,,,,,,,,,,,,,,,,,
205,19.99,7.473753859726511,1.343915343915344,,19.99,205,,,7.47375386,205,,,1.343915344,205,,,,205
,,,,,,,,,,,,,,,,,,
144,8.99,9.382871536523929,2.3601532567049808,,8.99,144,,,9.382871537,144,,,2.360153257,144,,,,144
,,,,,,,,,,,,,,,,,,
140,1.99,23.678899082568808,2.269230769230769,,1.99,140,,,23.67889908,140,,,2.269230769,140,,,,140
,,,,,,,,,,,,,,,,,,
603,0.99,15.615384615384615,0.3831417624521073,,0.99,603,,,15.61538462,603,,,0.383141762,603,,,,603
,,,,,,,,,,,,,,,,,,
199,5.24,9.124031007751938,1.4865900383141764,,5.24,199,,,9.124031008,199,,,1.486590038,199,,,,199
,,,,,,,,,,,,,,,,,,
178,0,8.418918919,4.134831460674158,,0,178,,,8.418918919,178,,,4.134831461,178,,,,178
,,,,,,,,,,,,,,,,,,
1870,0,7.3609934258582905,12.839080459770114,,0,1870,,,7.360993426,1870,,,12.83908046,1870,,,,1870
,,,,,,,,,,,,,,,,,,
1129,34.99,6.923076923076923,0.789272031,,34.99,1129,,,6.923076923,1129,,,0.79,1129,,,,1129
,,,,,,,,,,,,,,,,,,
179,39.99,3.4642233856893543,1.606896551724138,,39.99,179,,,3.464223386,179,,,1.606896552,179,,,,179
,,,,,,,,,,,,,,,,,,
431,3.99,2.64,0.8148148148148148,,3.99,431,,,2.64,431,,,0.814814815,431,,,,431
,,,,,,,,,,,,,,,,,,
123,29.99,10.789473684210526,1.148936170212766,,29.99,123,,,10.78947368,123,,,1.14893617,123,,,,123
,,,,,,,,,,,,,,,,,,
272,24.99,12.024875621890548,0.5555555555555556,,24.99,272,,,12.02487562,272,,,0.555555556,272,,,,272
,,,,,,,,,,,,,,,,,,
572,19.99,25.993094518774278,1.3409961685823755,,19.99,572,,,25.99309452,572,,,1.340996169,572,,,,572
,,,,,,,,,,,,,,,,,,
172,0,2.8683098591549294,11.977611940298507,,0,172,,,2.868309859,172,,,11.97761194,172,,,,172
,,,,,,,,,,,,,,,,,,
112,29.99,4.772058823529412,0.08,,29.99,112,,,4.772058824,112,,,0.08,112,,,,112
,,,,,,,,,,,,,,,,,,
524,29.99,10.069444444444445,1.0441176470588236,,29.99,524,,,10.06944444,524,,,1.044117647,524,,,,524
,,,,,,,,,,,,,,,,,,
259,0,3.733980582524272,0.7432950191570882,,0,259,,,3.733980583,259,,,0.743295019,259,,,,259
,,,,,,,,,,,,,,,,,,
335,19.99,2.0384316495937833,7.393939393939394,,19.99,335,,,2.03843165,335,,,7.393939394,335,,,,335
,,,,,,,,,,,,,,,,,,
1716,0,2.973266499582289,0.3831417624521073,,0,1716,,,2.9732665,1716,,,0.383141762,1716,,,,1716
,,,,,,,,,,,,,,,,,,
1432,39.99,10.164730978904954,5.233716475095785,,39.99,1432,,,10.16473098,1432,,,5.233716475,1432,,,,1432
,,,,,,,,,,,,,,,,,,
1392,9.99,21.808148861084376,0.4061302681992337,,9.99,1392,,,21.80814886,1392,,,0.406130268,1392,,,,1392
,,,,,,,,,,,,,,,,,,
1963,59.99,10.134579439252336,1.7941176470588236,,59.99,1963,,,10.13457944,1963,,,1.794117647,1963,,,,1963
,,,,,,,,,,,,,,,,,,
114,59.99,2.761904761904762,1.369863014,,59.99,114,,,2.761904762,114,,,1.37,114,,,,114
,,,,,,,,,,,,,,,,,,
323,3.99,2.919614147909968,21.18095238095238,,3.99,323,,,2.919614148,323,,,21.18095238,323,,,,323
,,,,,,,,,,,,,,,,,,
1071,59.99,7.1248,9.936,,59.99,1071,,,7.1248,1071,,,9.94,1071,,,,1071
,,,,,,,,,,,,,,,,,,
515,39.99,4.114343793672977,10.996168582375478,,39.99,515,,,4.114343794,515,,,10.99616858,515,,,,515
,,,,,,,,,,,,,,,,,,
1158,59.99,14.10817455439459,7.25,,59.99,1158,,,14.10817455,1158,,,7.25,1158,,,,1158
,,,,,,,,,,,,,,,,,,
638,0,15.132388663967612,4.758620689655173,,0,638,,,15.13238866,638,,,4.75862069,638,,,,638
,,,,,,,,,,,,,,,,,,
984,9.99,9.566131710016602,6.681992337164751,,9.99,984,,,9.56613171,984,,,6.681992337,984,,,,984
,,,,,,,,,,,,,,,,,,
579,0,2.837920489296636,3.671875,,0,579,,,2.837920489,579,,,3.67,579,,,,579
,,,,,,,,,,,,,,,,,,
170,6.29,11.75,1.5625,,6.29,170,,,11.75,170,,,1.56,170,,,,170
,,,,,,,,,,,,,,,,,,
102,9.99,10.711297071129707,8.005263157894737,,9.99,102,,,10.71129707,102,,,8.005263158,102,,,,102
,,,,,,,,,,,,,,,,,,
199,14.99,17.36899696048632,9.892720307,,14.99,199,,,17.36899696,199,,,9.89,199,,,,199
,,,,,,,,,,,,,,,,,,
289,4.99,11.444656488549619,1.1417624521072798,,4.99,289,,,11.44465649,289,,,1.141762452,289,,,,289
,,,,,,,,,,,,,,,,,,
340,29.99,4.675291730086251,1.9386973180076628,,29.99,340,,,4.67529173,340,,,1.938697318,340,,,,340
,,,,,,,,,,,,,,,,,,
146,13.99,11.146435452793835,6.666666666666667,,13.99,146,,,11.14643545,146,,,6.666666667,146,,,,146
,,,,,,,,,,,,,,,,,,
769,34.99,8.865269461077844,0.18181818181818182,,34.99,769,,,8.865269461,769,,,0.181818182,769,,,,769
,,,,,,,,,,,,,,,,,,
203,0,5.598130841121495,0.3831417624521073,,0,203,,,5.598130841,203,,,0.383141762,203,,,,203
,,,,,,,,,,,,,,,,,,
109,9.99,4.407832545577312,12.049808429118775,,9.99,109,,,4.407832546,109,,,12.04980843,109,,,,109
,,,,,,,,,,,,,,,,,,
424,59.99,1.7929373996789728,4.978021978021978,,59.99,424,,,1.7929374,424,,,4.978021978,424,,,,424
,,,,,,,,,,,,,,,,,,
197,0,1.1540041067761806,0.7352941176470589,,0,197,,,1.154004107,197,,,0.735294118,197,,,,197
,,,,,,,,,,,,,,,,,,
602,15.99,16.30188679245283,3.0613026819923372,,15.99,602,,,16.30188679,602,,,3.061302682,602,,,,602
,,,,,,,,,,,,,,,,,,
464,0,2.775699054516194,17.57894736842105,,0,464,,,2.775699055,464,,,17.57894737,464,,,,464
,,,,,,,,,,,,,,,,,,
278,29.99,4.251594202898551,2.815642458100559,,29.99,278,,,4.251594203,278,,,2.815642458,278,,,,278
,,,,,,,,,,,,,,,,,,
112,19.99,8.747720365,4.125,,19.99,112,,,8.747720365,112,,,4.13,112,,,,112
,,,,,,,,,,,,,,,,,,
601,29.99,7.023504273504273,3.668965517241379,,29.99,601,,,7.023504274,601,,,3.668965517,601,,,,601
,,,,,,,,,,,,,,,,,,
153,0,6.502057613168724,1.1555555555555554,,0,153,,,6.502057613,153,,,1.155555556,153,,,,153
,,,,,,,,,,,,,,,,,,
154,12.99,7.763888888888889,0.4666666666666667,,12.99,154,,,7.763888889,154,,,0.466666667,154,,,,154
,,,,,,,,,,,,,,,,,,
1380,19.99,19.067712045616535,24.435294117647057,,19.99,1380,,,19.06771205,1380,,,24.43529412,1380,,,,1380
,,,,,,,,,,,,,,,,,,
201,0,21.7,2.096774193548387,,0,201,,,21.7,201,,,2.096774194,201,,,,201
,,,,,,,,,,,,,,,,,,
134,9.99,8.826164875,3.6842105263157894,,9.99,134,,,8.826164875,134,,,3.684210526,134,,,,134
,,,,,,,,,,,,,,,,,,
557,24.99,2.613797549967763,5.988505747126437,,24.99,557,,,2.61379755,557,,,5.988505747,557,,,,557
,,,,,,,,,,,,,,,,,,
426,0,2.610294117647059,0.3831417624521073,,0,426,,,2.610294118,426,,,0.383141762,426,,,,426
,,,,,,,,,,,,,,,,,,
104,19.99,8.733766233766234,10.743295019157088,,19.99,104,,,8.733766234,104,,,10.74329502,104,,,,104
,,,,,,,,,,,,,,,,,,
607,10.49,4.585878489326765,4.360153256704981,,10.49,607,,,4.585878489,607,,,4.360153257,607,,,,607
,,,,,,,,,,,,,,,,,,
183,19.99,2.7325581395348837,0.6785714285714286,,19.99,183,,,2.73255814,183,,,0.678571429,183,,,,183
,,,,,,,,,,,,,,,,,,
184,59.99,17.038543897216275,0.14736842105263157,,59.99,184,,,17.0385439,184,,,0.147368421,184,,,,184
,,,,,,,,,,,,,,,,,,
426,17.99,14.05782313,6.376712328767123,,17.99,426,,,14.05782313,426,,,6.376712329,426,,,,426
,,,,,,,,,,,,,,,,,,
323,23.99,4.851851851851852,1.9195402298850575,,23.99,323,,,4.851851852,323,,,1.91954023,323,,,,323
,,,,,,,,,,,,,,,,,,
450,15.39,10.467576791808874,3.8237547892720305,,15.39,450,,,10.46757679,450,,,3.823754789,450,,,,450
,,,,,,,,,,,,,,,,,,
206,0,3.292452830188679,6.25,,0,206,,,3.29245283,206,,,6.25,206,,,,206
,,,,,,,,,,,,,,,,,,
130,39.99,2.3766233766233764,12.032407407407407,,39.99,130,,,2.376623377,130,,,12.03240741,130,,,,130
,,,,,,,,,,,,,,,,,,
197,6.99,12.477296726504752,0.896551724,,6.99,197,,,12.47729673,197,,,0.90,197,,,,197
,,,,,,,,,,,,,,,,,,
1519,29.99,11.129885057471265,7.46875,,29.99,1519,,,11.12988506,1519,,,7.47,1519,,,,1519
,,,,,,,,,,,,,,,,,,
120,14.99,17.596827133479213,16.35249042145594,,14.99,120,,,17.59682713,120,,,16.35249042,120,,,,120
,,,,,,,,,,,,,,,,,,
152,19.99,2.3612565445026177,0.5405405405405406,,19.99,152,,,2.361256545,152,,,0.540540541,152,,,,152
,,,,,,,,,,,,,,,,,,
271,0,2.6702508960573477,0.3831417624521073,,0,271,,,2.670250896,271,,,0.383141762,271,,,,271
,,,,,,,,,,,,,,,,,,
121,5.99,2.9849056603773585,1.9047619047619047,,5.99,121,,,2.98490566,121,,,1.904761905,121,,,,121
,,,,,,,,,,,,,,,,,,
122,19.99,3.8410981697171382,0.5267175572519084,,19.99,122,,,3.84109817,122,,,0.526717557,122,,,,122
,,,,,,,,,,,,,,,,,,
323,49.99,6.564102564102564,4.077922077922078,,49.99,323,,,6.564102564,323,,,4.077922078,323,,,,323
,,,,,,,,,,,,,,,,,,
259,0,5.885647359454855,19.558139534883722,,0,259,,,5.885647359,259,,,19.55813953,259,,,,259
,,,,,,,,,,,,,,,,,,
591,5.99,14.541818181818181,0.7920353982300885,,5.99,591,,,14.54181818,591,,,0.792035398,591,,,,591
,,,,,,,,,,,,,,,,,,
124,19.99,2.594940867279895,1.2298850574712643,,19.99,124,,,2.594940867,124,,,1.229885057,124,,,,124
,,,,,,,,,,,,,,,,,,
205,29.99,5.050561797752809,1,,29.99,205,,,5.050561798,205,,,1.00,205,,,,205
,,,,,,,,,,,,,,,,,,
126,0,2.6809210526315788,3.2873563218390807,,0,126,,,2.680921053,126,,,3.287356322,126,,,,126
,,,,,,,,,,,,,,,,,,
167,49.99,7.261682242990654,0.3831417624521073,,49.99,167,,,7.261682243,167,,,0.383141762,167,,,,167
,,,,,,,,,,,,,,,,,,
634,29.99,17.26484641638225,5.416666666666667,,29.99,634,,,17.26484642,634,,,5.416666667,634,,,,634
,,,,,,,,,,,,,,,,,,
151,14.99,26.09090909090909,3.0279329608938546,,14.99,151,,,26.09090909,151,,,3.027932961,151,,,,151
,,,,,,,,,,,,,,,,,,
172,19.99,5.097560975609756,0.7662835249042146,,19.99,172,,,5.097560976,172,,,0.766283525,172,,,,172
,,,,,,,,,,,,,,,,,,
285,0,2.030050761,1.4444444444444444,,0,285,,,2.030050761,285,,,1.444444444,285,,,,285
,,,,,,,,,,,,,,,,,,
926,6.99,7.665847665847666,0.3831417624521073,,6.99,926,,,7.665847666,926,,,0.383141762,926,,,,926
,,,,,,,,,,,,,,,,,,
285,39.99,1.4726680040120361,4.135135135135135,,39.99,285,,,1.472668004,285,,,4.135135135,285,,,,285
,,,,,,,,,,,,,,,,,,
1198,19.99,16.192526401299755,16.75095785440613,,19.99,1198,,,16.1925264,1198,,,16.75095785,1198,,,,1198
,,,,,,,,,,,,,,,,,,
237,19.99,6.894923258559622,0,,19.99,237,,,6.894923259,237,,,0.00,237,,,,237
,,,,,,,,,,,,,,,,,,
199,59.99,2.136498516320475,1.5483870967741935,,59.99,199,,,2.136498516,199,,,1.548387097,199,,,,199
,,,,,,,,,,,,,,,,,,
260,5.99,10.892215568862275,0.453551913,,5.99,260,,,10.89221557,260,,,0.45,260,,,,260
,,,,,,,,,,,,,,,,,,
120,2.99,9.744680851,1.0727969348659003,,2.99,120,,,9.744680851,120,,,1.072796935,120,,,,120
,,,,,,,,,,,,,,,,,,
224,39.99,3.6155717761557176,1.5325670498084292,,39.99,224,,,3.615571776,224,,,1.53256705,224,,,,224
,,,,,,,,,,,,,,,,,,
117,19.99,16.41222366710013,2.6168582375478926,,19.99,117,,,16.41222367,117,,,2.616858238,117,,,,117
,,,,,,,,,,,,,,,,,,
234,29.99,7.772300469483568,1.892720307,,29.99,234,,,7.772300469,234,,,1.89,234,,,,234
,,,,,,,,,,,,,,,,,,
552,39.99,4.367816091954023,12.555555555555555,,39.99,552,,,4.367816092,552,,,12.55555556,552,,,,552
,,,,,,,,,,,,,,,,,,
223,9.99,5.970878346641616,6.7025316455696204,,9.99,223,,,5.970878347,223,,,6.702531646,223,,,,223
,,,,,,,,,,,,,,,,,,
824,19.99,5.001161440185831,3.9348659003831417,,19.99,824,,,5.00116144,824,,,3.9348659,824,,,,824
,,,,,,,,,,,,,,,,,,
166,5.99,2.2992998833138856,24.818181818181817,,5.99,166,,,2.299299883,166,,,24.81818182,166,,,,166
,,,,,,,,,,,,,,,,,,
237,19.99,12.190730837789662,2.857142857142857,,19.99,237,,,12.19073084,237,,,2.857142857,237,,,,237
,,,,,,,,,,,,,,,,,,
162,19.99,3.2857142857142856,1.25,,19.99,162,,,3.285714286,162,,,1.25,162,,,,162
,,,,,,,,,,,,,,,,,,
371,14.99,2.6555555555555554,1.0735294117647058,,14.99,371,,,2.655555556,371,,,1.073529412,371,,,,371
,,,,,,,,,,,,,,,,,,
335,0,11.871794871794872,0,,0,335,,,11.87179487,335,,,0.00,335,,,,335
,,,,,,,,,,,,,,,,,,
442,24.99,3.254199328107503,10.903225806451612,,24.99,442,,,3.254199328,442,,,10.90322581,442,,,,442
,,,,,,,,,,,,,,,,,,
146,14.99,24.41262136,1.2873563218390804,,14.99,146,,,24.41262136,146,,,1.287356322,146,,,,146
,,,,,,,,,,,,,,,,,,
817,0,2.196575856035991,12.282352941176471,,0,817,,,2.196575856,817,,,12.28235294,817,,,,817
,,,,,,,,,,,,,,,,,,
987,26.79,1.593979933110368,3.111111111111111,,26.79,987,,,1.593979933,987,,,3.111111111,987,,,,987
,,,,,,,,,,,,,,,,,,
372,14.99,11.018813314037626,23.295454545454547,,14.99,372,,,11.01881331,372,,,23.29545455,372,,,,372
,,,,,,,,,,,,,,,,,,
759,19.99,13.209302325581396,0.5714285714285714,,19.99,759,,,13.20930233,759,,,0.571428571,759,,,,759
,,,,,,,,,,,,,,,,,,
336,23.99,1.2105263157894737,3.4482758620689653,,23.99,336,,,1.210526316,336,,,3.448275862,336,,,,336
,,,,,,,,,,,,,,,,,,
525,9.99,7.068902327286055,1.53125,,9.99,525,,,7.068902327,525,,,1.53,525,,,,525
,,,,,,,,,,,,,,,,,,
264,17.99,4.421052631578948,0.3831417624521073,,17.99,264,,,4.421052632,264,,,0.383141762,264,,,,264
,,,,,,,,,,,,,,,,,,
220,49.99,11.264675592173017,6.25,,49.99,220,,,11.26467559,220,,,6.25,220,,,,220
,,,,,,,,,,,,,,,,,,
978,39.99,4.145161290322581,4.196721311,,39.99,978,,,4.14516129,978,,,4.20,978,,,,978
,,,,,,,,,,,,,,,,,,
135,9.99,14.583333333333334,21.586206896551722,,9.99,135,,,14.58333333,135,,,21.5862069,135,,,,135
,,,,,,,,,,,,,,,,,,
163,19.99,8.511203542197773,25.513409961685824,,19.99,163,,,8.511203542,163,,,25.51340996,163,,,,163
,,,,,,,,,,,,,,,,,,
120,29.99,5.395683453,1.5612244897959184,,29.99,120,,,5.395683453,120,,,1.56122449,120,,,,120
,,,,,,,,,,,,,,,,,,
762,0,3.933852140077821,0.45454545454545453,,0,762,,,3.93385214,762,,,0.454545455,762,,,,762
,,,,,,,,,,,,,,,,,,
981,19.99,24.252701579384873,0.12418300653594772,,19.99,981,,,24.25270158,981,,,0.124183007,981,,,,981
,,,,,,,,,,,,,,,,,,
395,7.99,4.704778296860913,0.32608695652173914,,7.99,395,,,4.704778297,395,,,0.326086957,395,,,,395
,,,,,,,,,,,,,,,,,,
186,29.99,4.060231023,3.310344827586207,,29.99,186,,,4.060231023,186,,,3.310344828,186,,,,186
,,,,,,,,,,,,,,,,,,
164,29.99,9.710363761153054,18.77777777777778,,29.99,164,,,9.710363761,164,,,18.77777778,164,,,,164
,,,,,,,,,,,,,,,,,,
729,0,1.1016153527543835,7.910614525139665,,0,729,,,1.101615353,729,,,7.910614525,729,,,,729
,,,,,,,,,,,,,,,,,,
132,19.99,10.72192513368984,4.2105263157894735,,19.99,132,,,10.72192513,132,,,4.210526316,132,,,,132
,,,,,,,,,,,,,,,,,,
107,39.99,4.874296435272045,1.4865900383141764,,39.99,107,,,4.874296435,107,,,1.486590038,107,,,,107
,,,,,,,,,,,,,,,,,,
539,29.99,6.4806800618238025,2.3026819923371646,,29.99,539,,,6.480680062,539,,,2.302681992,539,,,,539
,,,,,,,,,,,,,,,,,,
338,5.99,4.0675600223338915,12.984674329501916,,5.99,338,,,4.067560022,338,,,12.98467433,338,,,,338
,,,,,,,,,,,,,,,,,,
1043,9.99,15.15531660692951,0,,9.99,1043,,,15.15531661,1043,,,0.00,1043,,,,1043
,,,,,,,,,,,,,,,,,,
1148,39.99,5.407750910897648,5.302788844621514,,39.99,1148,,,5.407750911,1148,,,5.302788845,1148,,,,1148
,,,,,,,,,,,,,,,,,,
312,39.99,3.532451165721487,4.375478927203065,,39.99,312,,,3.532451166,312,,,4.375478927,312,,,,312
,,,,,,,,,,,,,,,,,,
917,5.99,3.10966811,0,,5.99,917,,,3.10966811,917,,,0.00,917,,,,917
,,,,,,,,,,,,,,,,,,
641,0,2.932247557003257,1.1363636363636365,,0,641,,,2.932247557,641,,,1.136363636,641,,,,641
,,,,,,,,,,,,,,,,,,
197,0,4.215950920245398,0.5208333333333334,,0,197,,,4.21595092,197,,,0.520833333,197,,,,197
,,,,,,,,,,,,,,,,,,
1226,0,3.5441490986862205,0,,0,1226,,,3.544149099,1226,,,0.00,1226,,,,1226
,,,,,,,,,,,,,,,,,,
805,34.99,5.265195857721747,19.666666666666668,,34.99,805,,,5.265195858,805,,,19.66666667,805,,,,805
,,,,,,,,,,,,,,,,,,
119,27.99,1.5836508486317977,2.049808429118774,,27.99,119,,,1.583650849,119,,,2.049808429,119,,,,119
,,,,,,,,,,,,,,,,,,
276,19.99,5.76056338,0.9808429118773946,,19.99,276,,,5.76056338,276,,,0.980842912,276,,,,276
,,,,,,,,,,,,,,,,,,
193,29.99,2.757936507936508,1.6016597510373445,,29.99,193,,,2.757936508,193,,,1.601659751,193,,,,193
,,,,,,,,,,,,,,,,,,
256,19.99,6.321033210332104,0.030927835051546393,,19.99,256,,,6.32103321,256,,,0.030927835,256,,,,256
,,,,,,,,,,,,,,,,,,
137,0,2.957501760976755,3.9272030651340994,,0,137,,,2.957501761,137,,,3.927203065,137,,,,137
,,,,,,,,,,,,,,,,,,
341,17.99,10.884686346863468,12.666666666666666,,17.99,341,,,10.88468635,341,,,12.66666667,341,,,,341
,,,,,,,,,,,,,,,,,,
116,19.99,4.225416906,7.820512821,,19.99,116,,,4.225416906,116,,,7.82,116,,,,116
,,,,,,,,,,,,,,,,,,
749,0,2.708897839619187,3.3333333333333335,,0,749,,,2.70889784,749,,,3.333333333,749,,,,749
,,,,,,,,,,,,,,,,,,
119,9.99,12.075320512820513,20.053097345132745,,9.99,119,,,12.07532051,119,,,20.05309735,119,,,,119
,,,,,,,,,,,,,,,,,,
1083,15.99,6.832039739211425,18.666666666666668,,15.99,1083,,,6.832039739,1083,,,18.66666667,1083,,,,1083
,,,,,,,,,,,,,,,,,,
749,0,6.740112994350283,6.056994819,,0,749,,,6.740112994,749,,,6.06,749,,,,749
,,,,,,,,,,,,,,,,,,
115,14.99,6.368159204,10.160919540229886,,14.99,115,,,6.368159204,115,,,10.16091954,115,,,,115
,,,,,,,,,,,,,,,,,,
479,14.99,22.927570093457945,24.842911877394634,,14.99,479,,,22.92757009,479,,,24.84291188,479,,,,479
,,,,,,,,,,,,,,,,,,
167,12.99,9.616025641,0.3831417624521073,,12.99,167,,,9.616025641,167,,,0.383141762,167,,,,167
,,,,,,,,,,,,,,,,,,
1144,39.99,1.5191138140747176,9,,39.99,1144,,,1.519113814,1144,,,9.00,1144,,,,1144
,,,,,,,,,,,,,,,,,,
